name,x,y
030525_001_20250503_163053_part_068,9,6
030525_003_20250503_174500_part_007,1,2
030525_003_20250503_180900_part_009,0,5
030525_003_20250503_180900_part_070,1,6
030525_003_20250503_180900_part_039,4,0
030525_003_20250503_174500_part_031,5,0
030525_004_20250503_183415_part_063,8,8
030525_004_20250503_183415_part_022,8,5
030525_004_20250503_183415_part_026,0,6
030525_004_20250503_183415_part_069,3,0
030525_001_20250503_163053_part_111,0,6
030525_003_20250503_180900_part_005,4,5
030525_003_20250503_180900_part_012,6,1
030525_003_20250503_174500_part_042,3,8
030525_003_20250503_180900_part_095,8,9
030525_003_20250503_180900_part_060,2,4
030525_004_20250503_183415_part_018,6,5
030525_004_20250503_183415_part_028,9,9
030525_004_20250503_183415_part_033,3,2
030525_005_20250503_190900_part_105,5,5
030525_001_20250503_163053_part_027,0,8
030525_003_20250503_174500_part_003,6,1
030525_003_20250503_180900_part_065,2,3
030525_003_20250503_174500_part_043,5,6
030525_003_20250503_180900_part_050,6,4
030525_001_20250503_163053_part_074,6,3
030525_001_20250503_163053_part_100,0,0
030525_003_20250503_180900_part_028,8,6
030525_003_20250503_180900_part_048,9,3
030525_003_20250503_180900_part_030,8,0
030525_003_20250503_180900_part_101,6,4
030525_004_20250503_183415_part_096,8,6
030525_004_20250503_183415_part_061,0,2
030525_005_20250503_190900_part_061,2,0
030525_004_20250503_183415_part_004,6,0
030525_005_20250503_190900_part_059,1,4
030525_005_20250503_190900_part_023,2,8
030525_005_20250503_190900_part_086,3,5
030525_005_20250503_190900_part_097,6,2
030525_005_20250503_190900_part_026,5,2
030525_001_20250503_163053_part_078,5,8
030525_001_20250503_163053_part_019,3,1
030525_003_20250503_174500_part_000,9,1
030525_003_20250503_180900_part_082,9,8
030525_003_20250503_180900_part_047,9,2
030525_004_20250503_183415_part_007,1,6
030525_005_20250503_190900_part_102,6,0
030525_005_20250503_190900_part_057,0,9
030525_005_20250503_190900_part_034,6,6
030525_005_20250503_192700_part_008,2,5
030525_001_20250503_163053_part_034,4,6
030525_001_20250503_163053_part_115,2,1
030525_001_20250503_163053_part_101,6,8
030525_003_20250503_174500_part_012,2,6
030525_004_20250503_183415_part_092,8,1
030525_004_20250503_183415_part_058,6,5
030525_005_20250503_190900_part_093,0,1
030525_005_20250503_192700_part_072,4,2
030525_005_20250503_190900_part_106,1,1
030525_005_20250503_190900_part_036,4,6
030525_003_20250503_174500_part_008,6,6
030525_001_20250503_163053_part_095,4,9
030525_001_20250503_163053_part_053,9,4
030525_004_20250503_183415_part_054,6,6
SERRA_20250503_175508_part_000,2,2
030525_005_20250503_190900_part_015,0,3
030525_005_20250503_192700_part_042,1,3
030525_005_20250503_192700_part_070,3,6
030525_005_20250503_192700_part_114,5,3
030525_005_20250503_192700_part_086,3,6
SERRA_20250503_200247a,6,6
030525_003_20250503_180900_part_080,1,5
030525_003_20250503_180900_part_081,9,6
030525_003_20250503_180900_part_066,4,4
030525_004_20250503_183415_part_089,4,8
030525_005_20250503_192700_part_058,3,9
030525_005_20250503_190900_part_075,4,3
030525_005_20250503_190900_part_037,5,4
030525_005_20250503_192700_part_017,6,2
030525_005_20250503_192700_part_097,5,1
SERRA_20250503_174208_part_000,9,5
SERRA_20250503_180437,1,9
SERRA_20250503_181113_part_000,3,3
SERRA_20250503_195436_part_000,4,1
SERRA_20250503_175414_part_001,5,9
030525_005_20250503_192700_part_050,6,3
030525_005_20250503_190900_part_076,1,8
030525_005_20250503_192700_part_092,6,8
030525_005_20250503_192700_part_078,8,3
030525_005_20250503_192700_part_079,6,9
SERRA_20250503_200235,5,6
SERRA_20250503_221611_part_000,2,6
SERRA_20250503_175042_part_001,2,9
SERRA_20250503_181113,6,9
SERRA_20250503_195436,8,2
030525_005_20250503_192700_part_022,9,0
030525_005_20250503_192700_part_094,0,4
030525_005_20250503_192700_part_105,1,0
030525_005_20250503_190900_part_033,8,4
030525_005_20250503_192700_part_089,3,4
