filename,path,x,y
SERRA_20250503_212838,images/SERRA_20250503_212838.png,2,4
SERRA_20250503_213145,images/SERRA_20250503_213145.png,5,6
SERRA_20250503_213241,images/SERRA_20250503_213241.png,9,3
SERRA_20250503_191030,images/SERRA_20250503_191030.png,5,8
SERRA_20250503_190935,images/SERRA_20250503_190935.png,5,5
SERRA_20250503_180028,images/SERRA_20250503_180028.png,2,1
SERRA_20250503_175736,images/SERRA_20250503_175736.png,6,5
SERRA_20250503_175548,images/SERRA_20250503_175548.png,1,6
SERRA_20250503_175858,images/SERRA_20250503_175858.png,4,6
SERRA_20250503_175532,images/SERRA_20250503_175532.png,6,9
SERRA_20250503_212907,images/SERRA_20250503_212907.png,0,0
SERRA_20250503_212054,images/SERRA_20250503_212054.png,2,0
SERRA_20250503_204121,images/SERRA_20250503_204121.png,6,8
SERRA_20250503_192510,images/SERRA_20250503_192510.png,2,6
SERRA_20250503_191039,images/SERRA_20250503_191039.png,3,4
SERRA_20250503_181036,images/SERRA_20250503_181036.png,6,1
SERRA_20250503_181010,images/SERRA_20250503_181010.png,4,4
SERRA_20250503_180212,images/SERRA_20250503_180212.png,3,5
SERRA_20250503_175944,images/SERRA_20250503_175944.png,4,2
SERRA_20250503_174759,images/SERRA_20250503_174759.png,0,9
SERRA_20250503_212341,images/SERRA_20250503_212341.png,4,1
SERRA_20250503_211244,images/SERRA_20250503_211244.png,6,4
SERRA_20250503_211930,images/SERRA_20250503_211930.png,5,9
SERRA_20250503_213217,images/SERRA_20250503_213217.png,4,9
SERRA_20250503_212028,images/SERRA_20250503_212028.png,1,4
SERRA_20250503_210214,images/SERRA_20250503_210214.png,3,1
SERRA_20250503_205208,images/SERRA_20250503_205208.png,3,6
SERRA_20250503_202905,images/SERRA_20250503_202905.png,3,8
SERRA_20250503_193255,images/SERRA_20250503_193255.png,4,3
SERRA_20250503_193611,images/SERRA_20250503_193611.png,6,3
SERRA_20250503_190131,images/SERRA_20250503_190131.png,3,9
SERRA_20250503_191958,images/SERRA_20250503_191958.png,2,2
SERRA_20250503_183105,images/SERRA_20250503_183105.png,8,3
SERRA_20250503_180306,images/SERRA_20250503_180306.png,0,5
SERRA_20250503_182723,images/SERRA_20250503_182723.png,5,4
SERRA_20250503_180437,images/SERRA_20250503_180437.png,2,3
SERRA_20250503_174852,images/SERRA_20250503_174852.png,6,9
SERRA_20250503_180814,images/SERRA_20250503_180814.png,1,2
SERRA_20250503_174838,images/SERRA_20250503_174838.png,3,2
SERRA_20250503_174751,images/SERRA_20250503_174751.png,0,1
SERRA_20250503_212317,images/SERRA_20250503_212317.png,1,6
SERRA_20250503_213056,images/SERRA_20250503_213056.png,9,0
SERRA_20250503_211842,images/SERRA_20250503_211842.png,8,6
SERRA_20250503_201320,images/SERRA_20250503_201320.png,1,0
SERRA_20250503_202748,images/SERRA_20250503_202748.png,2,5
SERRA_20250503_192442,images/SERRA_20250503_192442.png,6,2
SERRA_20250503_185348,images/SERRA_20250503_185348.png,3,0
SERRA_20250503_190816,images/SERRA_20250503_190816.png,8,5
SERRA_20250503_182601,images/SERRA_20250503_182601.png,2,6
SERRA_20250503_175927,images/SERRA_20250503_175927.png,6,0
SERRA_20250503_210819,images/SERRA_20250503_210819.png,6,8
